event_date,events,active_users,new_users,buyers,conversion
2015-05-03,13682,7865,7845,84,0.010707456978967494
2015-05-04,19413,11019,10594,128,0.012082310741929394
2015-05-05,23011,13084,12455,184,0.014773183460457648
2015-05-06,23920,13687,12751,138,0.010822680574072622
2015-05-07,23157,13086,11910,103,0.008648194794290512
2015-05-08,19423,11106,9994,87,0.008705223133880328
2015-05-09,12695,7610,6883,42,0.006101990411157925
2015-05-10,12141,7413,6643,37,0.005569772693060364
2015-05-11,16174,9512,8601,49,0.005697011975351703
2015-05-12,22371,13041,11713,105,0.008964398531546146
2015-05-13,23764,13466,12037,122,0.010135415801279388
2015-05-14,24153,13662,12120,113,0.009323432343234324
2015-05-15,22188,12745,11170,92,0.008236347358997314
2015-05-16,19312,11414,10158,82,0.008072455207718056
2015-05-17,20878,11996,10696,88,0.008227374719521317
2015-05-18,27081,15476,13669,114,0.00834003950545029
2015-05-19,26797,15482,13517,99,0.007324110379522083
2015-05-20,22235,13332,11558,60,0.005191209551825575
2015-05-21,21674,12738,11099,65,0.005856383457969187
2015-05-22,21061,12340,10770,84,0.007799442896935933
2015-05-23,16406,9741,8477,55,0.006488144390704258
2015-05-24,17246,10453,9181,58,0.006317394619322514
2015-05-25,23860,14161,12353,108,0.00874281551040233
2015-05-26,21996,12781,10993,92,0.008368962066769762
2015-05-27,21931,12828,11081,95,0.008573233462683873
2015-05-28,22020,12956,11194,88,0.007861354296944793
2015-05-29,19570,11957,10297,67,0.006506749538700592
2015-05-30,16028,9684,8454,40,0.0047314880529926665
2015-05-31,16397,9936,8702,61,0.0070098827855665366
2015-06-01,22792,13257,11482,101,0.008796376937815712
2015-06-02,23332,13534,11653,109,0.009353814468377242
2015-06-03,23559,13414,11471,95,0.008281753988318367
2015-06-04,23629,13088,11171,94,0.008414645063109839
2015-06-05,20811,12137,10343,68,0.006574494827419511
2015-06-06,16155,9698,8314,46,0.005532836179937455
2015-06-07,16148,9423,8157,56,0.006865269094029668
2015-06-08,20936,12521,10707,85,0.007938731670869524
2015-06-09,23679,13684,11732,59,0.005028980565973406
2015-06-10,24020,13995,11959,92,0.007692950915628397
2015-06-11,20907,12387,10534,69,0.006550218340611353
2015-06-12,15865,9281,7948,57,0.007171615500754907
2015-06-13,12269,7465,6351,37,0.005825854196189577
2015-06-14,14151,8406,7253,43,0.005928581276713084
2015-06-15,22266,12558,10640,110,0.010338345864661654
2015-06-16,24664,13653,11542,121,0.01048345174146595
2015-06-17,23891,13392,11323,129,0.01139274043981277
2015-06-18,23322,13113,11080,92,0.008303249097472924
2015-06-19,20619,11504,9683,66,0.006816069399979345
2015-06-20,15565,8818,7442,50,0.0067186240257995165
2015-06-21,15630,9337,7909,39,0.004931091161967379
2015-06-22,23293,12834,10757,112,0.010411824858231849
2015-06-23,23615,13098,10966,106,0.009666241108882
2015-06-24,21959,12451,10450,94,0.008995215311004785
2015-06-25,20270,11793,9847,94,0.009546054635929726
2015-06-26,19871,11734,9837,76,0.007725932703059876
2015-06-27,15474,9098,7737,40,0.005169962517771746
2015-06-28,17195,10131,8645,46,0.005320994794679005
2015-06-29,22981,13190,11133,91,0.008173897422078505
2015-06-30,21445,12569,10546,84,0.00796510525317656
2015-07-01,20764,12157,10124,91,0.008988542078229949
2015-07-02,21407,12460,10500,81,0.007714285714285714
2015-07-03,20774,11860,9918,77,0.007763662028634806
2015-07-04,16091,9310,7955,46,0.0057825267127592705
2015-07-05,15749,9193,7806,53,0.006789648987957981
2015-07-06,22354,12779,10634,92,0.008651495204062441
2015-07-07,24380,13732,11426,91,0.007964291965692281
2015-07-08,25032,14162,11838,100,0.00844737286703835
2015-07-09,24996,14063,11681,92,0.00787603801044431
2015-07-10,23146,14140,11948,72,0.006026113157013726
2015-07-11,20791,14596,13039,40,0.0030677199171715622
2015-07-12,21126,14699,13222,48,0.003630313114506126
2015-07-13,26114,16515,14278,101,0.007073819862725872
2015-07-14,26868,16306,13975,82,0.005867620751341681
2015-07-15,24137,14932,12675,67,0.005285996055226824
2015-07-16,21620,13005,10835,80,0.007383479464697739
2015-07-17,20183,12840,10937,55,0.005028801316631617
2015-07-18,16489,10102,8589,46,0.00535568750727675
2015-07-19,16803,10473,9077,57,0.006279607799933899
2015-07-20,25329,15288,12985,101,0.00777820562187139
2015-07-21,23607,14212,11817,105,0.008885503935008886
2015-07-22,22325,13303,11029,94,0.008522984858101369
2015-07-23,21589,13001,10793,81,0.007504864263874734
2015-07-24,22746,14541,12391,45,0.003631668146235171
2015-07-25,27104,15571,13812,51,0.0036924413553431797
2015-07-26,32692,17516,15232,56,0.003676470588235294
2015-07-27,28555,16015,13278,116,0.008736255460159662
2015-07-28,21975,13189,10866,103,0.009479109147800478
2015-07-29,23197,14113,11912,92,0.007723304231027535
2015-07-30,20971,12737,10587,80,0.007556437139888543
2015-07-31,18935,11771,9801,58,0.005917763493521069
2015-08-01,15454,9947,8420,39,0.004631828978622327
2015-08-02,15217,9533,8127,52,0.006398425003076166
2015-08-03,21264,13066,10932,81,0.007409440175631174
2015-08-04,21229,12795,10568,99,0.00936790310370931
2015-08-05,20403,12675,10472,84,0.008021390374331552
2015-08-06,20322,12984,10858,55,0.005065389574507276
2015-08-07,19345,11851,9796,72,0.007349938750510413
2015-08-08,12852,8272,6907,26,0.003764297089908788
2015-08-09,13114,8588,7341,27,0.0036779730281977932
2015-08-10,18418,11289,9437,51,0.005404259828335276
2015-08-11,18200,11664,9696,45,0.004641089108910891
2015-08-12,20082,12806,10890,59,0.0054178145087236
2015-08-13,19152,12229,10201,49,0.004803450642093913
2015-08-14,16971,10637,8806,53,0.006018623665682489
2015-08-15,13420,8493,7116,28,0.0039347948285553686
2015-08-16,14487,9340,7968,47,0.00589859437751004
2015-08-17,20848,12741,10631,81,0.0076192267895776504
2015-08-18,20748,12741,10520,86,0.00817490494296578
2015-08-19,20079,12348,10256,82,0.007995319812792511
2015-08-20,19212,11527,9456,73,0.0077199661590524535
2015-08-21,17744,11071,9106,54,0.0059301559411377115
2015-08-22,14244,8977,7454,49,0.006573651730614435
2015-08-23,14014,9091,7664,41,0.005349686847599165
2015-08-24,18740,11785,9732,68,0.006987258528565557
2015-08-25,19679,12068,9920,63,0.006350806451612903
2015-08-26,18973,11521,9412,74,0.00786230344241394
2015-08-27,19561,12145,9971,70,0.007020359041219537
2015-08-28,19602,12005,9905,53,0.005350832912670369
2015-08-29,14962,9347,7806,44,0.005636689725851908
2015-08-30,16277,9903,8383,72,0.008588810688297746
2015-08-31,18624,11788,9713,64,0.006589107381859364
2015-09-01,18174,11277,9278,55,0.0059280017245095925
2015-09-02,17535,11017,8987,58,0.006453766551685768
2015-09-03,18036,11611,9594,45,0.004690431519699813
2015-09-04,17729,11045,9068,50,0.005513895015438906
2015-09-05,14361,9060,7644,35,0.004578754578754579
2015-09-06,14572,9318,7835,40,0.005105296745373325
2015-09-07,19791,12230,10055,68,0.0067628045748383886
2015-09-08,20811,12915,10629,79,0.007432496001505316
2015-09-09,21759,13066,10673,71,0.006652300196758175
2015-09-10,22548,14075,11556,68,0.005884389061959155
2015-09-11,21513,13080,10667,54,0.005062341801818693
2015-09-12,15495,9944,8332,35,0.004200672107537206
2015-09-13,16856,10768,9087,38,0.004181798173214482
2015-09-14,20905,13389,11039,59,0.005344687018751699
2015-09-15,20425,12687,10339,56,0.005416384563303994
2015-09-16,11494,6824,5586,35,0.006265664160401002
2015-09-17,10126,6270,5081,10,0.00196811651249754
2015-09-18,1528,1016,778,1,0.0012853470437017994
